Date,BTC Price,ETH Price,GPU Price
2020/1/1,7200.17,130.8,1949
2020/1/2,6985.47,127.41,1949
2020/1/3,7344.88,134.17,1949
2020/1/4,7410.66,135.07,1949
2020/1/5,7411.32,136.28,1949
2020/1/6,7769.22,144.3,1949
2020/1/7,8163.69,143.54,1949
2020/1/8,8079.86,141.26,1949
2020/1/9,7879.07,138.98,1949
2020/1/10,8166.55,143.96,1949
2020/1/11,8037.54,142.93,1949
2020/1/12,8192.49,145.87,1949
2020/1/13,8144.19,144.23,1949
2020/1/14,8827.76,165.96,1949
2020/1/15,8807.01,166.23,1949
2020/1/16,8723.79,164.39,1949
2020/1/17,8929.04,170.78,1949
2020/1/18,8942.81,175.37,1949
2020/1/19,8706.25,166.97,1949
2020/1/20,8657.64,167.12,1949
2020/1/21,8745.89,169.7,1949
2020/1/22,8680.88,168.29,1949
2020/1/23,8406.52,162.93,1929
2020/1/24,8445.43,163.05,1949
2020/1/25,8367.85,161.28,1949
2020/1/26,8596.83,168.08,1949
2020/1/27,8909.82,170.93,1949
2020/1/28,9358.59,176.37,1949
2020/1/29,9316.63,175.05,1949
2020/1/30,9508.99,184.69,1949
2020/1/31,9350.53,180.16,1949
2020/2/1,9392.88,183.67,1949
2020/2/2,9344.37,188.62,1949
2020/2/3,9293.52,189.87,1949
2020/2/4,9180.96,189.25,1949
2020/2/5,9613.42,204.23,1949
2020/2/6,9729.8,212.34,1949
2020/2/7,9795.94,222.73,1949
2020/2/8,9865.12,223.15,1949
2020/2/9,10116.67,228.58,1949
2020/2/10,9856.61,223.52,1949
2020/2/11,10208.24,235.85,1949
2020/2/12,10326.05,265.41,1949
2020/2/13,10214.38,268.1,1949
2020/2/14,10312.12,284.22,1949
2020/2/15,9889.42,264.73,1949
2020/2/16,9934.43,259.89,1949
2020/2/17,9690.14,266.36,1949
2020/2/18,10142,281.94,1979
2020/2/19,9633.39,259.76,1999
2020/2/20,9608.48,257.95,1999
2020/2/21,9686.44,265.6,1999
2020/2/22,9663.18,262.33,1999
2020/2/23,9924.52,273.75,1999
2020/2/24,9650.17,265.22,1999
2020/2/25,9341.71,247.82,1999
2020/2/26,8820.52,225.68,1999
2020/2/27,8784.49,226.75,1999
2020/2/28,8672.46,226.76,1999
2020/2/29,8599.51,219.85,1999
2020/3/1,8562.45,218.97,1999
2020/3/2,8869.67,230.57,1999
2020/3/3,8787.79,224.48,1999
2020/3/4,8755.25,224.52,1999
