Height,Time,Difficulty,Diff,Vary,Bits,AverageBlockTime,AverageComputingPower(EH/s)
681408,2021-05-01 20:27:02,20608845737768,20.61 T,- 12.61 %,0x170da863,11 分 27 秒,147.42
679392,2021-04-15 19:41:43,23581981443663,23.58 T,+ 1.92 %,0x170bef93,09 分 49 秒,168.79
677376,2021-04-02 02:00:01,23137439666472,23.14 T,+ 5.82 %,0x170c2a48,09 分 28 秒,165.44
675360,2021-03-19 20:06:45,21865558044610,21.87 T,+ 1.95 %,0x170cdf6f,09 分 49 秒,156.50
673344,2021-03-06 02:28:28,21448277761059,21.45 T,- 1.27 %,0x170d1f8c,10 分 08 秒,153.47
671328,2021-02-19 22:00:36,21724134900047,21.72 T,+ 1.35 %,0x170cf4e3,09 分 52 秒,155.47
669312,2021-02-06 02:25:03,21434395961348,21.43 T,+ 2.93 %,0x170d21b9,09 分 43 秒,153.41
667296,2021-01-23 11:56:57,20823531150111,20.82 T,+ 1.05 %,0x170d8457,09 分 54 秒,149.05
665280,2021-01-09 15:24:37,20607418304385,20.61 T,+ 10.79 %,0x170da8a1,09 分 02 秒,147.46
663264,2020-12-28 00:02:24,18599593048299,18.60 T,- 0.38 %,0x170f2217,10 分 02 秒,133.13
661248,2020-12-13 22:44:43,18670168558399,18.67 T,- 2.54 %,0x170f1372,10 分 16 秒,133.54
659232,2020-11-29 13:41:45,19157154724710,19.16 T,+ 8.87 %,0x170eb156,09 分 11 秒,137.12
657216,2020-11-16 17:01:59,17596801059571,17.60 T,+ 4.82 %,0x170ffedd,09 分 32 秒,125.96
655200,2020-11-03 08:28:10,16787779609932,16.79 T,- 16.05 %,0x1710c433,11 分 55 秒,120.12
653184,2020-10-17 16:03:40,19997335994446,20.00 T,+ 3.62 %,0x170e134e,09 分 40 秒,142.94
651168,2020-10-04 03:19:52,19298087186262,19.30 T,- 0.09 %,0x170e95de,10 分 01 秒,138.09
649152,2020-09-20 02:55:33,19314656404097,19.31 T,+ 11.35 %,0x170e92aa,08 分 59 秒,138.09
647136,2020-09-07 12:48:40,17345997805929,17.35 T,- 1.21 %,0x17103a12,10 分 08 秒,124.12
645120,2020-08-24 08:34:19,17557993035167,17.56 T,+ 3.60 %,0x171007ea,09 分 40 秒,125.59
643104,2020-08-10 20:00:19,16947802333946,16.95 T,+ 0.59 %,0x17109bac,09 分 57 秒,121.27
641088,2020-07-27 21:52:36,16847561611550,16.85 T,- 2.87 %,0x1710b4f8,10 分 18 秒,120.57
639072,2020-07-13 11:51:00,17345948872516,17.35 T,+ 9.89 %,0x17103a15,09 分 07 秒,123.85
637056,2020-06-30 17:18:49,15784217546288,15.78 T,0.00 %,0x1711d519,10 分 01 秒,112.84
635040,2020-06-16 16:51:07,15784744305477,15.78 T,+ 14.95 %,0x1711d4f2,08 分 42 秒,112.98
633024,2020-06-04 12:30:52,13732352106018,13.73 T,- 9.29 %,0x17147f35,11 分 01 秒,98.30
631008,2020-05-20 02:06:56,15138043247082,15.14 T,- 6.00 %,0x171297f6,10 分 39 秒,108.19
628992,2020-05-05 04:05:21,16104807485529,16.10 T,+ 0.92 %,0x17117a39,09 分 55 秒,115.27
626976,2020-04-21 07:05:24,15958652328578,15.96 T,+ 8.45 %,0x1711a333,09 分 14 秒,114.10
624960,2020-04-08 08:54:06,14715214060656,14.72 T,+ 5.77 %,0x171320bc,09 分 28 秒,105.21
622944,2020-03-26 02:51:46,13912524048945,13.91 T,- 15.95 %,0x17143b41,11 分 54 秒,99.59
620928,2020-03-09 11:05:17,16552923967337,16.55 T,+ 6.88 %,0x17110119,09 分 22 秒,118.40
618912,2020-02-25 08:28:42,15486913440292,15.49 T,- 0.38 %,0x17122cbc,10 分 02 秒,110.86
616896,2020-02-11 07:10:24,15546745765529,15.55 T,+ 0.52 %,0x17121ad4,09 分 57 秒,111.23
614880,2020-01-28 08:44:03,15466098935554,15.47 T,+ 4.67 %,0x171232ff,09 分 33 秒,110.71
612864,2020-01-14 23:42:37,14776367535688,14.78 T,+ 7.08 %,0x17130c78,09 分 20 秒,105.76
610848,2020-01-01 21:54:27,13798783827516,13.80 T,+ 6.57 %,0x171465f2,09 分 24 秒,98.67
608832,2019-12-19 18:17:01,12948593420946,12.95 T,+ 0.56 %,0x1715bcd0,09 分 57 秒,92.66
606816,2019-12-05 20:02:25,12876842089682,12.88 T,- 0.74 %,0x1715dbd2,10 分 05 秒,92.07
604800,2019-11-21 17:08:52,12973235968799,12.97 T,+ 1.99 %,0x1715b23e,09 分 49 秒,92.81
602784,2019-11-07 23:30:36,12720005267390,12.72 T,- 7.10 %,0x171620d1,10 分 46 秒,91.02
600768,2019-10-23 21:42:53,13691480038694,13.69 T,+ 5.25 %,0x17148edf,09 分 31 秒,97.90
598752,2019-10-10 14:08:55,13008091666971,13.01 T,+ 1.95 %,0x1715a35c,09 分 49 秒,93.11
596736,2019-09-26 20:33:21,12759819404408,12.76 T,+ 7.31 %,0x17160f24,09 分 20 秒,91.24
594720,2019-09-13 19:06:31,11890594958795,11.89 T,+ 10.38 %,0x1717abf5,09 分 04 秒,85.08
592704,2019-09-01 02:35:01,10771996663680,10.77 T,+ 5.78 %,0x171a213e,09 分 27 秒,77.08
590688,2019-08-18 20:49:42,10183488432890,10.18 T,+ 1.98 %,0x171ba3d1,09 分 49 秒,72.79
588672,2019-08-05 02:52:08,9985348008059,9.99 T,+ 10.78 %,0x171c3039,09 分 02 秒,71.43
586656,2019-07-23 11:22:17,9013786945891,9.01 T,- 0.56 %,0x171f3a08,10 分 04 秒,64.49
584640,2019-07-09 09:17:48,9064159826491,9.06 T,+ 14.23 %,0x171f0d9b,08 分 46 秒,64.85
582624,2019-06-27 02:59:30,7934713219630,7.93 T,+ 7.09 %,0x1723792c,09 分 21 秒,56.77
580608,2019-06-14 01:03:50,7409399249090,7.41 T,- 0.67 %,0x1725fd03,10 分 04 秒,53.03
578592,2019-05-30 22:43:04,7459680720542,7.46 T,+ 11.26 %,0x1725bb76,09 分 00 秒,53.36
576576,2019-05-18 08:31:36,6704632680587,6.70 T,+ 0.04 %,0x1729fb45,10 分 00 秒,47.98
574560,2019-05-04 08:32:13,6702169884349,6.70 T,+ 5.50 %,0x1729ff38,09 分 29 秒,47.96
572544,2019-04-21 01:54:28,6353030562983,6.35 T,- 0.63 %,0x172c4e11,10 分 04 秒,45.47
570528,2019-04-06 23:43:43,6393023717201,6.39 T,+ 0.22 %,0x172c071d,09 分 59 秒,45.76
568512,2019-03-24 00:24:53,6379265451411,6.38 T,+ 5.11 %,0x172c1f6c,09 分 31 秒,45.66
566496,2019-03-10 16:45:04,6068891541676,6.07 T,- 0.05 %,0x172e6117,10 分 00 秒,43.44
564480,2019-02-24 16:33:58,6071846049920,6.07 T,+ 0.17 %,0x172e5b50,09 分 59 秒,43.45
562464,2019-02-10 16:59:41,6061518831027,6.06 T,+ 4.25 %,0x172e6f88,09 分 36 秒,43.38
560448,2019-01-28 06:35:13,5814661935891,5.81 T,- 1.18 %,0x17306835,10 分 08 秒,41.59
558432,2019-01-14 02:19:54,5883988430955,5.88 T,+ 4.72 %,0x172fd633,09 分 33 秒,42.10
