date,price,status
"2019,2,17",2149,"购买1件,页面价:2199.00,优惠券：满1999减50"
"2019,2,18",2199,
"2019,2,19",2199,
"2019,2,20",2199,
"2019,2,21",2199,
"2019,2,22",2199,
"2019,2,23",2199,
"2019,2,24",2199,
"2019,2,25",2148,"购买1件,页面价:2198.00,优惠券：满2099减50"
"2019,2,26",2198,
"2019,2,27",2198,
"2019,2,28",2149,"购买1件,页面价:2199.00,优惠券：满2099减50"
"2019,2,29",2199,
"2019,2,30",2199,
"2019,2,31",2199,
"2019,3,1",2179,"购买1件,页面价:2199.00,优惠券：满1749减20"
"2019,3,2",2179,"购买1件,页面价:2199.00,优惠券：满1000减20"
"2019,3,3",2079,"购买1件,页面价:2199.00,满减：满2199减100,优惠券：满1000减20"
"2019,3,4",2199,
"2019,3,5",2199,
"2019,3,6",2199,
"2019,3,7",2199,
"2019,3,8",2199,
"2019,3,9",2199,
"2019,3,10",2199,
"2019,3,11",2079,"购买1件,页面价:2099.00,优惠券：满1000减20"
"2019,3,12",2099,
"2019,3,13",2099,
"2019,3,14",2099,
"2019,3,15",2099,
"2019,3,16",2099,
"2019,3,17",2039,"购买1件,页面价:2199.00,满减：满1749减140,优惠券：满1000减20"
"2019,3,18",2199,
"2019,3,19",2129,"购买1件,页面价:2199.00,满减：满1749减50,优惠券：满1000减20"
"2019,3,20",2079,"购买1件,页面价:2199.00,满减：满1749减100,优惠券：满1000减20"
"2019,3,21",2199,
"2019,3,22",1979,"购买1件,页面价:2099.00,满减：满1749减100,优惠券：满1000减20"
"2019,3,23",2099,
"2019,3,24",2099,
"2019,3,25",2099,
"2019,3,26",2099,
"2019,3,27",2099,
"2019,3,28",2099,
"2019,3,29",2099,
"2019,3,30",2099,
"2019,4,1",2099,
"2019,4,2",2099,
"2019,4,3",2099,
"2019,4,4",2099,
"2019,4,5",2099,
"2019,4,6",2099,
"2019,4,7",2099,
"2019,4,8",2099,
"2019,4,9",2099,
"2019,4,10",2099,
"2019,4,11",2099,
"2019,4,12",2099,
"2019,4,13",2099,
"2019,4,14",2099,
"2019,4,15",2099,
"2019,4,16",2099,
"2019,4,17",2099,
"2019,4,18",2099,
"2019,4,19",2099,
"2019,4,20",2099,
"2019,4,21",2099,
"2019,4,22",2099,
"2019,4,23",2099,
"2019,4,24",2099,
"2019,4,25",2099,
"2019,4,26",2099,
"2019,4,27",2099,
"2019,4,28",2099,
"2019,4,29",2099,
"2019,4,30",2099,
"2019,4,31",2099,
"2019,5,1",2099,
"2019,5,2",2099,
"2019,5,3",2099,
"2019,5,4",2099,
"2019,5,5",2099,
"2019,5,6",2099,
"2019,5,7",2099,
"2019,5,8",2099,
"2019,5,9",2099,
"2019,5,10",2099,
"2019,5,11",2099,
"2019,5,12",2099,
"2019,5,13",2099,
"2019,5,14",2099,
"2019,5,15",2099,
"2019,5,16",2099,
"2019,5,17",2099,
"2019,5,18",2099,
"2019,5,19",2099,
"2019,5,20",2099,
"2019,5,21",2099,
"2019,5,22",2099,
"2019,5,23",2099,
"2019,5,24",2099,
"2019,5,25",2099,
"2019,5,26",2099,
"2019,5,27",2099,
"2019,5,28",2099,
"2019,5,29",2099,
"2019,5,30",2099,
"2019,6,1",2099,
"2019,6,2",2099,
"2019,6,3",2099,
"2019,6,4",1979,"购买1件,页面价:1999.00,优惠券：满1000减20"
"2019,6,5",1999,
"2019,6,6",1999,
"2019,6,7",1999,
"2019,6,8",1999,
"2019,6,9",1999,
"2019,6,10",1999,
"2019,6,11",1999,
"2019,6,12",1999,
"2019,6,13",1999,
"2019,6,14",1999,
"2019,6,15",1999,
"2019,6,16",1999,
"2019,6,17",1999,
"2019,6,18",1999,
"2019,6,19",1999,
"2019,6,20",1999,
"2019,6,21",1979,"购买1件,页面价:1999.00,优惠券：满1000减20"
"2019,6,22",1999,
"2019,6,23",1999,
"2019,6,24",1999,
"2019,6,25",1999,
"2019,6,26",1999,
"2019,6,27",1999,
"2019,6,28",1999,
"2019,6,29",1999,
"2019,6,30",1999,
"2019,6,31",1979,"购买1件,页面价:1999.00,优惠券：满1000减20"
"2019,7,1",1999,
"2019,7,2",1999,
"2019,7,3",1999,
"2019,7,4",1999,
"2019,7,5",1979,"购买1件,页面价:1999.00,优惠券：满1000减20"
"2019,7,6",1999,
"2019,7,7",2179,"购买1件,页面价:2199.00,优惠券：满1000减20"
"2019,7,8",2199,
"2019,7,9",2199,
"2019,7,10",2199,
"2019,7,11",2199,
"2019,7,12",2199,
"2019,7,13",2199,
"2019,7,14",2199,
"2019,7,15",2199,
"2019,7,16",1979,"购买1件,粉丝价1999,优惠券：满1000减20"
"2019,7,17",2199,
"2019,7,18",2199,
"2019,7,19",2199,
"2019,7,20",2199,
"2019,7,21",2199,
"2019,7,22",2199,
"2019,7,23",2199,
"2019,7,24",2199,
"2019,7,25",2199,
"2019,7,26",2199,
"2019,7,27",2199,
"2019,7,28",2199,
"2019,7,29",2199,
"2019,7,30",2199,
"2019,7,31",2179,"购买1件,页面价:2199.00,优惠券：满1000减20"
"2019,8,1",2199,
"2019,8,2",2199,
"2019,8,3",2199,
"2019,8,4",1979,"购买1件,页面价:1999.00,优惠券：满1000减20"
"2019,8,5",1999,"购买1件,plus价格1999"
"2019,8,6",2179,"购买1件,页面价:2199.00,优惠券：满1000减20"
"2019,8,7",1969,"购买1件,页面价:1989.00,优惠券：满1000减20"
"2019,8,8",1989,
"2019,8,9",1899,"购买1件,页面价:1999.00,优惠券：满1299减100"
"2019,8,10",1979,"购买1件,页面价:1999.00,优惠券：满1000减20"
"2019,8,11",2079,"购买1件,页面价:2099.00,优惠券：满1000减20"
"2019,8,12",2099,
"2019,8,13",2099,
"2019,8,14",2099,
"2019,8,15",2099,
"2019,8,16",2099,
"2019,8,17",2099,
"2019,8,18",2099,
"2019,8,19",2099,
"2019,8,20",2099,
"2019,8,21",1999,
"2019,8,22",1999,
"2019,8,23",1999,
"2019,8,24",1999,
"2019,8,25",1999,
"2019,8,26",1999,
"2019,8,27",1979,"购买1件,页面价:1999.00,优惠券：满1000减20"
"2019,8,28",1999,
"2019,8,29",1999,
"2019,8,30",1999,
"2019,9,1",1999,
"2019,9,2",1999,
"2019,9,3",1929,"购买1件,页面价:1999.00,满减：满980减50,优惠券：满1000减20"
"2019,9,4",1999,
"2019,9,5",1999,
"2019,9,6",1999,
"2019,9,7",1999,
"2019,9,8",1999,
"2019,9,9",1999,
"2019,9,10",1999,
"2019,9,11",1999,
"2019,9,12",1999,
"2019,9,13",1989,
"2019,9,14",1979,"购买1件,页面价:1999.00,优惠券：满1000减20"
"2019,9,15",1999,
"2019,9,16",1999,
"2019,9,17",1999,
"2019,9,18",1999,
"2019,9,19",1999,
"2019,9,20",1999,
"2019,9,21",1999,
"2019,9,22",1999,
"2019,9,23",1999,
"2019,9,24",1999,
"2019,9,25",1999,
"2019,9,26",1999,
"2019,9,27",1969,"购买1件,页面价:1989.00,优惠券：满1000减20"
"2019,9,28",1989,
"2019,9,29",1989,
"2019,9,30",1979,"购买1件,页面价:1999.00,优惠券：满1000减20"
"2019,9,31",1979,"购买1件,页面价:1999.00,优惠券：满1000减20"
"2019,10,1",1799,"购买1件,页面价:1899.00,优惠券：满1299减100"
"2019,10,2",1899,
"2019,10,3",1859,"购买1件,页面价:1899.00,优惠券：满299减40"
"2019,10,4",1899,
"2019,10,5",1899,
"2019,10,6",1899,
